concurrency,max_gen_len,token_rate,p50_latency,p70_latency,p90_latency,p99_latency
2,256,44.67639125757305,0.8057947158813477,0.9685685157775878,1.131342315673828,1.2045905256271363
4,256,45.11290220462621,0.7746206521987915,1.1699352264404286,3.0266819000244145,3.862217903137206
6,256,46.53445094565766,4.829468011856079,5.3794238567352295,5.596343159675598,5.647040450572968
8,256,43.404456284940814,3.9406665563583374,4.419472336769104,5.467324113845825,5.554404411315918
10,256,42.460450133375566,5.300137400627136,5.544212388992309,6.293857097625732,6.699580907821655
12,256,33.38615286383006,5.045972108840942,5.588132929801941,8.906074714660646,9.704967064857483
14,256,37.05905018404279,1.7544249296188354,4.117649269104004,5.904237699508667,6.220957195758819
16,256,31.37837859408761,5.368550777435303,6.252778768539429,7.1269896030426025,9.186094045639038
18,256,25.008066946629803,6.154091715812683,6.504931616783142,10.084247708320618,10.647418246269226
20,256,25.319161185242184,6.263760805130005,9.837492370605469,10.200754237174989,12.05466211080551
22,256,24.701022575270798,6.390103697776794,8.296474361419678,9.808762335777283,10.412873139381409
24,256,21.424638322161996,9.862066149711609,10.159075903892516,13.959538316726684,14.921842575073242
26,256,19.292949450486386,10.09253454208374,13.076744556427002,13.871056914329529,16.507368206977844
28,256,20.139724687490144,7.298078775405884,9.267209196090699,10.955951571464539,13.153438558578491
30,256,17.942492833001747,10.148607015609741,13.515222692489624,14.934827637672425,18.38328887939453
32,256,17.14326931005885,9.958321452140808,13.428664731979369,15.895149517059327,18.59693205833435
